file	scope	tags	pin	keep
feedback_authentik_blueprint_oidc_default_grants_empty.md	github-com-serverkraken-homelab-study	authentik,oidc	-	y
feedback_authentik_device_flow_setup.md	github-com-serverkraken-homelab-study	authentik,device-flow,oidc	-	y
feedback_authentik_issuer_modes.md	github-com-serverkraken-homelab-study	authentik,oidc	-	y
feedback_authentik_offline_access_refresh_token.md	github-com-serverkraken-homelab-study	authentik,oidc	-	y
feedback_authentik_subhash_unusable_with_static_allowlist.md	github-com-serverkraken-homelab-study	authentik,oidc	-	y
feedback_charm_v2_width_gotcha.md	github-com-serverkraken-flow	tui,lipgloss	-	y
feedback_dont_descope_hobby_projects.md	global	working-style	y	y
feedback_flow_next_image_stale_mirror.md	github-com-serverkraken-homelab-study	deploy,docker	-	y
feedback_generic_features.md	global	working-style	y	y
feedback_go_keyring_base64_prefix.md	github-com-serverkraken-flow	oidc,keyring,macos	-	y
feedback_htmx_hxboost_blocks_oidc_redirect.md	github-com-serverkraken-flow	webui,htmx,oidc	-	y
feedback_long_lived_integration_branch.md	global	working-style,git	y	y
feedback_macos_keychain_2kb_limit.md	github-com-serverkraken-flow	oidc,keyring,macos	-	y
feedback_navigation_discoverability_over_minimalism.md	global	ux,tui	y	y
feedback_no_icons.md	global	ux,style	y	y
feedback_no_monoliths.md	global	architecture,style	y	y
feedback_orphan_branch_first_push_paths_filter.md	github-com-serverkraken-flow	git,ci	-	y
feedback_pgstore_goose_migrations.md	github-com-serverkraken-flow	database,pgstore	y	y
feedback_plan_main_wiring_task.md	global	planning,working-style	y	y
feedback_search_partial_word_recall.md	github-com-serverkraken-flow	search,ux	-	y
feedback_subagent_git_commits_isolated.md	global	subagent,git	y	y
feedback_tailwind_v4_templ_gotchas.md	github-com-serverkraken-flow	webui,tailwind,templ	y	y
feedback_tui_palette_contextual_commands.md	github-com-serverkraken-flow	tui,palette	-	y
project_charm_v2_migration.md	github-com-serverkraken-flow	tui,charm,milestone	-	y
project_dayoff_glyph_unification.md	github-com-serverkraken-flow	tui,milestone	-	skip
project_flow_client_server_phase1_spec.md	github-com-serverkraken-flow	spec,architecture	-	y
project_flow_docs_vault_import.md	github-com-serverkraken-flow	docs,milestone	-	y
project_flow_embed_poison_doc_storm.md	github-com-serverkraken-flow	docs,spec	-	y
project_flow_homelab_deploy.md	github-com-serverkraken-homelab-study	deploy,oidc	-	y
project_flow_input_capture_datepicker.md	github-com-serverkraken-flow	tui,milestone	-	y
project_flow_kontext_redesign.md	github-com-serverkraken-flow	kontext,spec,architecture	-	y
project_flow_legacy_tui_sem_migration.md	github-com-serverkraken-flow	tui,planned	-	y
project_flow_mcp_durable_auth.md	github-com-serverkraken-flow	mcp,oidc,milestone	-	y
project_flow_oidc_multi_provider.md	github-com-serverkraken-flow	oidc,milestone	-	y
project_flow_project_mgmt_ui_gap.md	github-com-serverkraken-flow	projects,ux	-	y
project_flow_rebuild_b1_followups.md	github-com-serverkraken-flow	kontext,milestone,b-series	-	y
project_flow_rebuild_b1_hierarchie_bindings.md	github-com-serverkraken-flow	kontext,milestone,b-series	-	y
project_flow_rebuild_b1_planned.md	github-com-serverkraken-flow	kontext,planned,b-series	-	skip
project_flow_rebuild_b2_tag_system.md	github-com-serverkraken-flow	tags,milestone,b-series	-	y
project_flow_rebuild_b3_kontext_store.md	github-com-serverkraken-flow	kontext,milestone,b-series	-	y
project_flow_rebuild_dayoff_categories_done.md	github-com-serverkraken-flow	worktime,milestone	-	y
project_flow_rebuild_docs_kompendium_look.md	github-com-serverkraken-flow	docs,tui,milestone	-	y
project_flow_rebuild_edit_running_timer_start.md	github-com-serverkraken-flow	worktime,planned	-	y
project_flow_rebuild_keyboard_grammar_planned.md	github-com-serverkraken-flow	tui,planned	-	skip
project_flow_rebuild_keyboard_grammar.md	github-com-serverkraken-flow	tui,milestone	-	y
project_flow_rebuild_m0.md	github-com-serverkraken-flow	milestone,architecture	-	y
project_flow_rebuild_m1_finish.md	github-com-serverkraken-flow	milestone,worktime	-	y
project_flow_rebuild_m1a.md	github-com-serverkraken-flow	milestone,worktime	-	y
